[0] Note: All times listed are in seconds since the start of the game!
[0] Some times (such as this message) may be the same. This means both happened within the same frame in Unity.
[8.5] Hook Received -> [IsEmptyHook: input=cold]
[9.92] Hook Received -> [IsEmptyHook: input=aids]
[9.92] Hook Received -> [IsEmptyHook: input= ]
[9.94] Hook Received -> [IsEmptyHook: input= ]
[9.96] Hook Received -> [IsEmptyHook: input= ]
[9.98] Hook Received -> [IsEmptyHook: input= ]
[10] Hook Received -> [IsEmptyHook: input= ]
[10.02] Hook Received -> [IsEmptyHook: input= ]
[10.04] Hook Received -> [IsEmptyHook: input= ]
[10.06] Hook Received -> [IsEmptyHook: input= ]
[10.08] Hook Received -> [IsEmptyHook: input= ]
[10.1] Hook Received -> [IsEmptyHook: input= ]
[10.12] Hook Received -> [IsEmptyHook: input= ]
[10.14] Hook Received -> [IsEmptyHook: input= ]
[10.16] Hook Received -> [IsEmptyHook: input= ]
[10.18] Hook Received -> [IsEmptyHook: input= ]
[10.2] Hook Received -> [IsEmptyHook: input= ]
[10.22] Hook Received -> [IsEmptyHook: input= ]
[10.24] Hook Received -> [IsEmptyHook: input= ]
[10.26] Hook Received -> [IsEmptyHook: input= ]
[10.28] Hook Received -> [IsEmptyHook: input= ]
[10.3] Hook Received -> [IsEmptyHook: input= ]
[10.32] Hook Received -> [IsEmptyHook: input= ]
[10.34] Hook Received -> [IsEmptyHook: input= ]
[10.36] Hook Received -> [IsEmptyHook: input= ]
[10.38] Hook Received -> [IsEmptyHook: input= ]
[10.4] Hook Received -> [IsEmptyHook: input= ]
[10.42] Hook Received -> [IsEmptyHook: input= ]
[10.44] Hook Received -> [IsEmptyHook: input= ]
[10.46] Hook Received -> [IsEmptyHook: input= ]
[10.48] Hook Received -> [IsEmptyHook: input= ]
[10.5] Hook Received -> [IsEmptyHook: input= ]
[10.52] Hook Received -> [IsEmptyHook: input= ]
[10.54] Hook Received -> [IsEmptyHook: input= ]
[10.56] Hook Received -> [IsEmptyHook: input= ]
[10.58] Hook Received -> [IsEmptyHook: input= ]
[10.6] Hook Received -> [IsEmptyHook: input= ]
[10.62] Hook Received -> [IsEmptyHook: input= ]
[10.64] Hook Received -> [IsEmptyHook: input= ]
[10.66] Hook Received -> [IsEmptyHook: input= ]
[10.68] Hook Received -> [IsEmptyHook: input= ]
[10.7] Hook Received -> [IsEmptyHook: input= ]
[10.72] Hook Received -> [IsEmptyHook: input= ]
[10.74] Hook Received -> [IsEmptyHook: input= ]
[10.76] Hook Received -> [IsEmptyHook: input= ]
[10.78] Hook Received -> [IsEmptyHook: input= ]
[10.8] Hook Received -> [IsEmptyHook: input= ]
[10.82] Hook Received -> [IsEmptyHook: input= ]
[10.84] Hook Received -> [IsEmptyHook: input= ]
[10.86] Hook Received -> [IsEmptyHook: input= ]
[10.88] Hook Received -> [IsEmptyHook: input= ]
[10.9] Hook Received -> [IsEmptyHook: input= ]
[10.92] Hook Received -> [IsEmptyHook: input= ]
[10.94] Hook Received -> [IsEmptyHook: input= ]
[10.96] Hook Received -> [IsEmptyHook: input= ]
[10.98] Hook Received -> [IsEmptyHook: input= ]
[11] Hook Received -> [IsEmptyHook: input= ]
[11.02] Hook Received -> [IsEmptyHook: input= ]
[11.04] Hook Received -> [IsEmptyHook: input= ]
[11.06] Hook Received -> [IsEmptyHook: input= ]
[11.08] Hook Received -> [IsEmptyHook: input= ]
[11.1] Hook Received -> [IsEmptyHook: input= ]
[11.12] Hook Received -> [IsEmptyHook: input= ]
[11.14] Hook Received -> [IsEmptyHook: input= ]
[11.16] Hook Received -> [IsEmptyHook: input= ]
[11.18] Hook Received -> [IsEmptyHook: input= ]
[11.2] Hook Received -> [IsEmptyHook: input= ]
[11.22] Hook Received -> [IsEmptyHook: input= ]
[11.24] Hook Received -> [IsEmptyHook: input= ]
[11.26] Hook Received -> [IsEmptyHook: input= ]
[11.28] Hook Received -> [IsEmptyHook: input= ]
[11.3] Hook Received -> [IsEmptyHook: input= ]
[11.32] Hook Received -> [IsEmptyHook: input= ]
[11.34] Hook Received -> [IsEmptyHook: input= ]
[11.36] Hook Received -> [IsEmptyHook: input= ]
[11.38] Hook Received -> [IsEmptyHook: input= ]
[11.4] Hook Received -> [IsEmptyHook: input= ]
[11.42] Hook Received -> [IsEmptyHook: input= ]
[11.44] Hook Received -> [IsEmptyHook: input= ]
[11.46] Hook Received -> [IsEmptyHook: input= ]
[11.48] Hook Received -> [IsEmptyHook: input= ]
[11.5] Hook Received -> [IsEmptyHook: input= ]
[11.52] Hook Received -> [IsEmptyHook: input= ]
[11.54] Hook Received -> [IsEmptyHook: input= ]
[11.56] Hook Received -> [IsEmptyHook: input= ]
[11.58] Hook Received -> [IsEmptyHook: input= ]
[11.6] Hook Received -> [IsEmptyHook: input= ]
[11.62] Hook Received -> [IsEmptyHook: input= ]
[11.64] Hook Received -> [IsEmptyHook: input= ]
[11.66] Hook Received -> [IsEmptyHook: input= ]
[11.68] Hook Received -> [IsEmptyHook: input= ]
[11.7] Hook Received -> [IsEmptyHook: input= ]
[11.72] Hook Received -> [IsEmptyHook: input= ]
[11.74] Hook Received -> [IsEmptyHook: input= ]
[11.76] Hook Received -> [IsEmptyHook: input= ]
[11.78] Hook Received -> [IsEmptyHook: input= ]
[11.8] Hook Received -> [IsEmptyHook: input= ]
[11.82] Hook Received -> [IsEmptyHook: input= ]
[11.84] Hook Received -> [IsEmptyHook: input= ]
[11.86] Hook Received -> [IsEmptyHook: input= ]
[11.88] Hook Received -> [IsEmptyHook: input= ]
[11.9] Hook Received -> [IsEmptyHook: input= ]
