[0] Note: All times listed are in seconds since the start of the game!
[0] Some times (such as this message) may be the same. This means both happened within the same frame in Unity.
[5.3] Hook Received -> [IsEmptyHook: input=infection]
[5.88] Hook Received -> [IsEmptyHook: input=aids]
[7.74] Hook Received -> [IsEmptyHook: input=aids]
[9.639999] Hook Received -> [IsEmptyHook: input=dengue]
[14.18] Hook Received -> [IsEmptyHook: input=dengue]
[17.32] Hook Received -> [IsEmptyHook: input=cancer]
[18.56] Hook Received -> [IsEmptyHook: input=dengue]
[20.56] Hook Received -> [IsEmptyHook: input=aids]
[21.46] Hook Received -> [IsEmptyHook: input=cold]
[25.46] Hook Received -> [IsEmptyHook: input=aids]
[26.46] Hook Received -> [IsEmptyHook: input=flu]
[28.88] Hook Received -> [IsEmptyHook: input=tb]
[37.08] Hook Received -> [IsEmptyHook: input=aids]
[39.5] Hook Received -> [IsEmptyHook: input=infection]
[40.46] Hook Received -> [IsEmptyHook: input=dengue]
[42.08] Hook Received -> [IsEmptyHook: input=dengue]
[44.16] Hook Received -> [IsEmptyHook: input=infection]
[48.66] Hook Received -> [IsEmptyHook: input= ]
[48.68] Hook Received -> [IsEmptyHook: input= ]
[48.7] Hook Received -> [IsEmptyHook: input= ]
[48.72] Hook Received -> [IsEmptyHook: input= ]
[48.74] Hook Received -> [IsEmptyHook: input= ]
[48.76] Hook Received -> [IsEmptyHook: input= ]
[48.78] Hook Received -> [IsEmptyHook: input= ]
[48.8] Hook Received -> [IsEmptyHook: input= ]
[48.82] Hook Received -> [IsEmptyHook: input= ]
[48.84] Hook Received -> [IsEmptyHook: input= ]
[48.86] Hook Received -> [IsEmptyHook: input= ]
[48.88] Hook Received -> [IsEmptyHook: input= ]
[48.9] Hook Received -> [IsEmptyHook: input= ]
[48.92] Hook Received -> [IsEmptyHook: input= ]
[48.94] Hook Received -> [IsEmptyHook: input= ]
[48.96] Hook Received -> [IsEmptyHook: input= ]
[48.98] Hook Received -> [IsEmptyHook: input= ]
[49] Hook Received -> [IsEmptyHook: input= ]
[49.02] Hook Received -> [IsEmptyHook: input= ]
[49.04] Hook Received -> [IsEmptyHook: input= ]
[49.06] Hook Received -> [IsEmptyHook: input= ]
[49.08] Hook Received -> [IsEmptyHook: input= ]
[49.1] Hook Received -> [IsEmptyHook: input= ]
[49.12] Hook Received -> [IsEmptyHook: input= ]
[49.14] Hook Received -> [IsEmptyHook: input= ]
[49.16] Hook Received -> [IsEmptyHook: input= ]
[49.18] Hook Received -> [IsEmptyHook: input= ]
[49.2] Hook Received -> [IsEmptyHook: input= ]
[49.22] Hook Received -> [IsEmptyHook: input= ]
[49.24] Hook Received -> [IsEmptyHook: input= ]
[49.26] Hook Received -> [IsEmptyHook: input= ]
[49.28] Hook Received -> [IsEmptyHook: input= ]
[49.3] Hook Received -> [IsEmptyHook: input= ]
[49.32] Hook Received -> [IsEmptyHook: input= ]
[49.34] Hook Received -> [IsEmptyHook: input= ]
[49.36] Hook Received -> [IsEmptyHook: input= ]
[49.38] Hook Received -> [IsEmptyHook: input= ]
[49.4] Hook Received -> [IsEmptyHook: input= ]
[49.42] Hook Received -> [IsEmptyHook: input= ]
[49.44] Hook Received -> [IsEmptyHook: input= ]
[49.46] Hook Received -> [IsEmptyHook: input= ]
[49.48] Hook Received -> [IsEmptyHook: input= ]
[49.5] Hook Received -> [IsEmptyHook: input= ]
[49.52] Hook Received -> [IsEmptyHook: input= ]
[49.54] Hook Received -> [IsEmptyHook: input= ]
[49.56] Hook Received -> [IsEmptyHook: input= ]
[49.58] Hook Received -> [IsEmptyHook: input= ]
[49.6] Hook Received -> [IsEmptyHook: input= ]
[49.62] Hook Received -> [IsEmptyHook: input= ]
[49.64] Hook Received -> [IsEmptyHook: input= ]
[49.66] Hook Received -> [IsEmptyHook: input= ]
[49.68] Hook Received -> [IsEmptyHook: input= ]
[49.7] Hook Received -> [IsEmptyHook: input= ]
[49.72] Hook Received -> [IsEmptyHook: input= ]
[49.74] Hook Received -> [IsEmptyHook: input= ]
[49.76] Hook Received -> [IsEmptyHook: input= ]
[49.78] Hook Received -> [IsEmptyHook: input= ]
[49.8] Hook Received -> [IsEmptyHook: input= ]
[49.82] Hook Received -> [IsEmptyHook: input= ]
[49.84] Hook Received -> [IsEmptyHook: input= ]
[49.86] Hook Received -> [IsEmptyHook: input= ]
[49.88] Hook Received -> [IsEmptyHook: input= ]
[49.9] Hook Received -> [IsEmptyHook: input= ]
[49.92] Hook Received -> [IsEmptyHook: input= ]
[49.92] Hook Received -> [IsEmptyHook: input=infection]
[49.94] Hook Received -> [IsEmptyHook: input= ]
[50.28] Hook Received -> [IsEmptyHook: input=cancer]
[54.28] Hook Received -> [IsEmptyHook: input=cold]
[54.48] Hook Received -> [IsEmptyHook: input=tb]
[55.64] Hook Received -> [IsEmptyHook: input=infection]
[56.18] Hook Received -> [IsEmptyHook: input=aids]
[57.04] Hook Received -> [IsEmptyHook: input=flu]
[59.08] Hook Received -> [IsEmptyHook: input=cancer]
[60.72] Hook Received -> [IsEmptyHook: input= ]
[60.74] Hook Received -> [IsEmptyHook: input= ]
[60.76] Hook Received -> [IsEmptyHook: input= ]
[60.78] Hook Received -> [IsEmptyHook: input= ]
[60.8] Hook Received -> [IsEmptyHook: input= ]
[60.82] Hook Received -> [IsEmptyHook: input= ]
[60.84] Hook Received -> [IsEmptyHook: input= ]
[60.86] Hook Received -> [IsEmptyHook: input= ]
[60.88] Hook Received -> [IsEmptyHook: input= ]
[60.9] Hook Received -> [IsEmptyHook: input= ]
[60.92] Hook Received -> [IsEmptyHook: input= ]
[60.94] Hook Received -> [IsEmptyHook: input= ]
[60.96] Hook Received -> [IsEmptyHook: input= ]
[60.98] Hook Received -> [IsEmptyHook: input= ]
[61] Hook Received -> [IsEmptyHook: input= ]
[61.02] Hook Received -> [IsEmptyHook: input= ]
[61.04] Hook Received -> [IsEmptyHook: input= ]
[61.06] Hook Received -> [IsEmptyHook: input= ]
[61.08] Hook Received -> [IsEmptyHook: input= ]
[61.1] Hook Received -> [IsEmptyHook: input= ]
[61.12] Hook Received -> [IsEmptyHook: input= ]
[61.14] Hook Received -> [IsEmptyHook: input= ]
[61.16] Hook Received -> [IsEmptyHook: input= ]
[61.18] Hook Received -> [IsEmptyHook: input= ]
[61.2] Hook Received -> [IsEmptyHook: input= ]
[61.22] Hook Received -> [IsEmptyHook: input= ]
[61.24] Hook Received -> [IsEmptyHook: input= ]
[61.26] Hook Received -> [IsEmptyHook: input= ]
[61.28] Hook Received -> [IsEmptyHook: input= ]
[61.3] Hook Received -> [IsEmptyHook: input= ]
[61.32] Hook Received -> [IsEmptyHook: input= ]
[61.34] Hook Received -> [IsEmptyHook: input= ]
[61.36] Hook Received -> [IsEmptyHook: input= ]
[61.38] Hook Received -> [IsEmptyHook: input= ]
[61.4] Hook Received -> [IsEmptyHook: input= ]
[61.42] Hook Received -> [IsEmptyHook: input= ]
[61.44] Hook Received -> [IsEmptyHook: input= ]
[61.46] Hook Received -> [IsEmptyHook: input= ]
[61.48] Hook Received -> [IsEmptyHook: input= ]
[61.5] Hook Received -> [IsEmptyHook: input= ]
[61.52] Hook Received -> [IsEmptyHook: input= ]
[61.54] Hook Received -> [IsEmptyHook: input= ]
[61.56] Hook Received -> [IsEmptyHook: input= ]
[61.58] Hook Received -> [IsEmptyHook: input= ]
[61.6] Hook Received -> [IsEmptyHook: input= ]
[61.62] Hook Received -> [IsEmptyHook: input= ]
[61.64] Hook Received -> [IsEmptyHook: input= ]
[61.66] Hook Received -> [IsEmptyHook: input= ]
[61.68] Hook Received -> [IsEmptyHook: input= ]
[61.7] Hook Received -> [IsEmptyHook: input= ]
[61.72] Hook Received -> [IsEmptyHook: input= ]
[61.74] Hook Received -> [IsEmptyHook: input= ]
[61.76] Hook Received -> [IsEmptyHook: input= ]
[61.78] Hook Received -> [IsEmptyHook: input= ]
[61.8] Hook Received -> [IsEmptyHook: input= ]
[61.82] Hook Received -> [IsEmptyHook: input= ]
[61.84] Hook Received -> [IsEmptyHook: input= ]
[61.86] Hook Received -> [IsEmptyHook: input= ]
[61.88] Hook Received -> [IsEmptyHook: input= ]
[61.9] Hook Received -> [IsEmptyHook: input= ]
[61.92] Hook Received -> [IsEmptyHook: input= ]
[61.94] Hook Received -> [IsEmptyHook: input= ]
[61.96] Hook Received -> [IsEmptyHook: input= ]
[61.98] Hook Received -> [IsEmptyHook: input= ]
[62] Hook Received -> [IsEmptyHook: input= ]
[62.02] Hook Received -> [IsEmptyHook: input= ]
[62.04] Hook Received -> [IsEmptyHook: input= ]
