[0] Note: All times listed are in seconds since the start of the game!
[0] Some times (such as this message) may be the same. This means both happened within the same frame in Unity.
[5.82] Hook Received -> [IsEmptyHook: input=aids]
[8.679999] Hook Received -> [IsEmptyHook: input=aids]
[9.58] Hook Received -> [IsEmptyHook: input=aids]
[10.68] Hook Received -> [IsEmptyHook: input=aids]
[13.48] Hook Received -> [IsEmptyHook: input= ]
[13.5] Hook Received -> [IsEmptyHook: input= ]
[13.52] Hook Received -> [IsEmptyHook: input= ]
[13.54] Hook Received -> [IsEmptyHook: input= ]
[13.56] Hook Received -> [IsEmptyHook: input= ]
[13.58] Hook Received -> [IsEmptyHook: input= ]
[13.6] Hook Received -> [IsEmptyHook: input= ]
[13.62] Hook Received -> [IsEmptyHook: input= ]
[13.64] Hook Received -> [IsEmptyHook: input= ]
[13.66] Hook Received -> [IsEmptyHook: input= ]
[13.68] Hook Received -> [IsEmptyHook: input= ]
[13.7] Hook Received -> [IsEmptyHook: input= ]
[13.72] Hook Received -> [IsEmptyHook: input= ]
[13.74] Hook Received -> [IsEmptyHook: input= ]
[13.76] Hook Received -> [IsEmptyHook: input= ]
[13.78] Hook Received -> [IsEmptyHook: input= ]
[13.8] Hook Received -> [IsEmptyHook: input= ]
[13.82] Hook Received -> [IsEmptyHook: input= ]
[13.84] Hook Received -> [IsEmptyHook: input= ]
[13.86] Hook Received -> [IsEmptyHook: input= ]
[13.88] Hook Received -> [IsEmptyHook: input= ]
[13.9] Hook Received -> [IsEmptyHook: input= ]
[13.92] Hook Received -> [IsEmptyHook: input= ]
[13.94] Hook Received -> [IsEmptyHook: input= ]
[13.96] Hook Received -> [IsEmptyHook: input= ]
[13.98] Hook Received -> [IsEmptyHook: input= ]
[14] Hook Received -> [IsEmptyHook: input= ]
[14.02] Hook Received -> [IsEmptyHook: input= ]
[14.02] Hook Received -> [IsEmptyHook: input= ]
[14.04] Hook Received -> [IsEmptyHook: input= ]
[14.04] Hook Received -> [IsEmptyHook: input= ]
[14.06] Hook Received -> [IsEmptyHook: input= ]
[14.06] Hook Received -> [IsEmptyHook: input= ]
[14.08] Hook Received -> [IsEmptyHook: input= ]
[14.08] Hook Received -> [IsEmptyHook: input= ]
[14.1] Hook Received -> [IsEmptyHook: input= ]
[14.1] Hook Received -> [IsEmptyHook: input= ]
[14.12] Hook Received -> [IsEmptyHook: input= ]
[14.12] Hook Received -> [IsEmptyHook: input= ]
[14.14] Hook Received -> [IsEmptyHook: input= ]
[14.14] Hook Received -> [IsEmptyHook: input= ]
[14.16] Hook Received -> [IsEmptyHook: input= ]
[14.16] Hook Received -> [IsEmptyHook: input= ]
[14.18] Hook Received -> [IsEmptyHook: input= ]
[14.18] Hook Received -> [IsEmptyHook: input= ]
[14.2] Hook Received -> [IsEmptyHook: input= ]
